id;title;category;price;image;description;isCustomizable;inStock
301;Зошит А5 в клітинку 48 аркушів;Зошити;45.0;images/b9027af2-6480-11ef-a064-ecebb899e263_095165bf-655e-11ef-a064-ecebb899e263-700x700.jpg;Якісний зошит для конспектів.;FALSE;TRUE
102;Ручка кулькова синя;Ручки;15.0;images/ruchka-sharikovaya-ifeel-it-0-7-mm-pentel-vh-487-0.jpg;М'яке письмо без пропусків.;FALSE;TRUE
201;Біла керамічна чашка;Сублімація;250.0;images/mug.jpg;Додайте свій принт!;TRUE;TRUE
202;Футболка базова;Сублімація;450.0;images/tshirt.jpg;Ідеально підходить для друку.;TRUE;TRUE
503;"Олівці кольор. 72 кольор. ""Marco"" ";Олівці;547.0;images/002305185-600x600.webp;Велика палітра високоякісних олівців, які ідеально підходять для художників, ілюстраторів, а також любителів скетчингу та розмальовок;FALSE;TRUE
302;Блокнот на пружині А6 80 аркушів, клітинка;Зошити;49.70;images/482309510-1-600x600.webp;Компактний та практичний записник розміром 105х148 мм, який легко вміщується в кишеню чи невелику сумку. Завдяки кріпленню на спіралі, він зручно розгортається на 360 градусів для записів на вазі;FALSE;TRUE
401;Басейн Захід сонця 61х22см 3 кільця;Басейни;110.00;images/000113240-1-600x600.webp;Компактний та безпечний круглий басейн для малюків віком від 1 до 3 років.;FALSE;TRUE
402;Басейн надувний Звірята 61х22см 3 кільця;Басейни;160.00;images/606475_1.jpg;Басейн надувний INTEX Звірята підійде навіть для найменших. Яскравий мультяшний принт приверне увагу малюка та він залюбки захоче бавитись у ньому. У цієї моделі невелика глибина і об'єм, завдяки цьому вода в басейні прогріється дуже швидко, і вашій дитині не доведеться довго чекати, щоб охолодитися в спекотний літній день.;FALSE;TRUE
403;Басейн дитячий надувний 102х69 см Вінні Пух з навісом;Басейни;400.00;images/554.970.jpg;Безпечний ігровий водний оазис для найменших, оформлений у стилі Disney з малюнками ведмедика Вінні-Пуха та його друзів. Завдяки вбудованому козирку та м'якій конструкції, модель ідеально підходить для безпечного відпочинку немовлят і малюків віком від 1 до 3 років.;FALSE;TRUE
103;Гелева ручка пиши-стирай Axent Student 0.5 мм;Ручки;35.00;images/478837911.webp; Популярний та практичний інструмент для навчання та офісної роботи. Вона дозволяє швидко вносити виправлення в текст без використання коректорів та пошкодження паперу.;FALSE;TRUE
104;"Ручка кулькова Flair ""Writometer 743"" 0,6 мм чорна";Ручки;30.00;images/524610684.webp;Це світовий лідер за тривалістю використання, що здатна провести безперервну лінію завдовжки до 10 000 метрів (10 км). Вона є ідеальним вибором для студентів, школярів та офісних працівників, яким доводиться щодня конспектувати великі обсяги інформації.;FALSE;TRUE
105;Ручка кулькова FLAIR Writometer ball (пише 10км) синя;Ручки;30.00;images/179709391.webp;Це світовий лідер за тривалістю використання, що здатна провести безперервну лінію завдовжки до 10 000 метрів (10 км). Вона є ідеальним вибором для студентів, школярів та офісних працівників, яким доводиться щодня конспектувати великі обсяги інформації.;FALSE;TRUE
106;Ручка кулькова FLAIR Writometer ball 10км червона;Ручки;30.00;images/179709409.webp;Це світовий лідер за тривалістю використання, що здатна провести безперервну лінію завдовжки до 10 000 метрів (10 км). Вона є ідеальним вибором для студентів, школярів та офісних працівників, яким доводиться щодня конспектувати великі обсяги інформації.;FALSE;TRUE
107;"Ручка кулькова Flair ""Big Writer"" 0,7 мм синя";Ручки;22.00;images/c.webp;Це надійний та економний інструмент для щоденного письма, відомий своїм збільшеним ресурсом чорнила. Завдяки об'ємному стрижню вона здатна провести безперервну лінію завдовжки до 4 000 метрів (4 км), що робить її чудовим вибором для тривалого навчання чи офісної роботи;FALSE;TRUE
108;Ручка Radius I-Pen синя ;Ручки;12.00;images/563659489.webp; Це бюджетний, надійний та ергономічний інструмент для щоденного письма. Завдяки масляному чорнилу, ручка забезпечує надзвичайно м'яке ковзання папером, не потребуючи сильного натискання під час тривалого конспектування чи роботи.;FALSE;TRUE
109;Ручка Radius I-Pen чорна ;Ручки;12.00;images/563659225.webp; Це бюджетний, надійний та ергономічний інструмент для щоденного письма. Завдяки масляному чорнилу, ручка забезпечує надзвичайно м'яке ковзання папером, не потребуючи сильного натискання під час тривалого конспектування чи роботи.;FALSE;TRUE
110;Кулькова ручка Unimax G-Gold чорна;Ручки;25.00;images/a.webp; Це елегантний масляний інструмент преміумкласу для щоденного письма. Головна перевага моделі полягає в поєднанні сучасних технологій та підвищеного комфорту, завдяки чому рука практично не втомлюється під час тривалого конспектування чи заповнення документів.;FALSE;TRUE
111;Кулькова ручка Unimax G-Gold синя;Ручки;25.00;images/16261137766975.webp; Це елегантний масляний інструмент преміумкласу для щоденного письма. Головна перевага моделі полягає в поєднанні сучасних технологій та підвищеного комфорту, завдяки чому рука практично не втомлюється під час тривалого конспектування чи заповнення документів.;FALSE;TRUE
112;Ручка кулькова LINC Combi + Hi-liner 0,7/1,4мм;Ручки;16.00;images/0a68f70967d711e894b5002590d3eead_693223fa67d711e894b5002590d3eead-400x400.webp; Унікальна та практична ручка-трансформер «2 в 1» на масляній основі від відомого індійського бренда LINC. Конструкція поєднує в собі класичний інструмент для щоденного письма та мінімаркер для виділення важливих деталей, нотаток чи заголовків;FALSE;TRUE
113;Ручка кулькова масляна 1Вересня cиня;Ручки;8.00;images/283263371.webp;Бюджетний, надійний та практичний інструмент для щоденного навчання та офісної роботи.;FALSE;TRUE
114;Ручка масляна Pensan Global 0,5 мм синя;Ручки;6.00;images/6551942057_w640_h640_ruchka-sharikovaya-sinyaya.webp;Одна з найпопулярніших бюджетних ручок на українському ринку від турецького виробника Pensan. Вона відома своїм надзвичайно м'яким письмом, тривалим ресурсом роботи та ідеально підходить для тих, хто має дрібний почерк;FALSE;TRUE
115;Ручка масляна GLORY 0,7 мм синя;Ручки;5.00;images/a01k0sv7qjze538wtgba6601v0g.webp;Ця модель поєднує в собі найкращі властивості кулькових і гелевих ручок завдяки інноваційному чорнилу зниженої в'язкості. Вона розроблена спеціально для тих, кому доводиться багато й швидко писати: школярів, студентів, офісних працівників та операторів державних установ.;FALSE;TRUE
116;Ручка гелева Hiper White Shark 0,6мм синя;Ручки;15.00;images/7250219059_w640_h640_ruchka-geleva-hiper.webp;Ця ручка стане надійним супутником для школярів, студентів та офісних працівників, перетворюючи кожне занесення нотаток на суцільне задоволення.;FALSE;TRUE
117;;;;;;;
